,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,totals,weekday,Start_Lon_mean,Start_Lat_mean,End_Lon_mean,End_Lat_mean,Start_Lon_std,Start_Lat_std,End_Lon_std,End_Lat_std,Start_Lon_meanAM,Start_Lat_meanAM,End_Lon_meanAM,End_Lat_meanAM,Start_Lon_stdAM,Start_Lat_stdAM,End_Lon_stdAM,End_Lat_stdAM,Start_Lon_meanPM,Start_Lat_meanPM,End_Lon_meanPM,End_Lat_meanPM,Start_Lon_stdPM,Start_Lat_stdPM,End_Lon_stdPM,End_Lat_stdPM
30,2016-07-01,567,280,163,105,95,301,1131,2115,3919,3227,2140,2223,2622,3165,3490,3192,2947,2003,1673,1816,838,762,385,510,39669,4,-73.98625517091034,40.73812484213428,-73.98685074545976,40.73783295739964,0.01626413356055191,0.022529661701404226,0.016166946470654454,0.022149286900397084,-73.98446584983526,40.738325271447756,-73.98784414702804,40.737086019567656,0.016325746539895384,0.02393469850420093,0.01590935677112627,0.02168256256978845,-73.98691445244509,40.737561057834455,-73.98641703142987,40.73760308564344,0.015948601013594927,0.021631045088466246,0.015985579056097845,0.02220184306975764
31,2016-07-02,355,249,177,132,68,83,238,453,894,1451,2085,2466,2807,2947,3071,3002,2782,2711,2845,2207,1823,1272,931,788,35837,5,-73.98660111189696,40.73575288197497,-73.98702127088218,40.73537017534039,0.017533613998092532,0.024596766409256062,0.01747669446614783,0.024424442861551085,-73.98508685540098,40.73675310764959,-73.98702538438873,40.73626717971485,0.01721147470091356,0.024335043134183318,0.016857789611735157,0.023525888339062863,-73.9878068876547,40.73587411301627,-73.98750720394058,40.735968485582255,0.017283048316444092,0.024890631060484288,0.0172343607020106,0.024599552754637197
32,2016-07-03,554,361,262,168,98,80,167,358,763,1254,1752,2309,2700,2838,3058,2983,2938,2972,2751,2340,1658,1286,992,706,35348,6,-73.98664237408119,40.73686158350084,-73.98684766156592,40.73642323090408,0.017565667217560286,0.02513812178512452,0.017542427533560574,0.025190525975119803,-73.98496847670803,40.7383436023454,-73.98671829215732,40.73863271934865,0.017135596951812642,0.02564043913712853,0.01708363181264531,0.02487304711571649,-73.98770921936509,40.73652922774959,-73.9876872438167,40.73595039596634,0.017648181227335285,0.025519035751503927,0.0175052403545779,0.0251466257562382
33,2016-07-04,537,252,173,116,73,66,196,399,709,1252,1884,2497,2874,3209,3099,3315,3218,3042,2596,2096,1022,714,1282,239,34860,0,-73.98610220799839,40.736272574415786,-73.98430164418751,40.73431680492414,0.017842308291820017,0.02483729662287579,0.3966698939407666,0.21957581940331344,-73.9854121090335,40.73758620902244,-73.98726660818883,40.737958833262674,0.017041166370254997,0.02453024581878421,0.017150561323170416,0.024650051054460304,-73.98691529922831,40.7365392681564,-73.98608002263549,40.734936351469614,0.017976694022903996,0.024565236946376686,0.018119144628388737,0.023948641727951227
34,2016-07-05,53,39,29,16,44,187,836,1875,3483,2875,1534,1609,1861,2028,2069,2289,2952,4823,5203,3691,2668,1709,1144,727,43744,1,-73.98758351084695,40.737436987174355,-73.98719163159706,40.73746102963264,0.016096644126459586,0.022057219772065654,0.01619281369544178,0.022274488524817827,-73.98572415045881,40.73717880545621,-73.98861505671758,40.736786028211,0.016086726579061926,0.022449226156434302,0.015523421853882537,0.020852556378986503,-73.98892348971907,40.73683400080535,-73.98699159018227,40.737382423124686,0.01589691550927705,0.02167398342286784,0.016202181611858196,0.022610031147907682
35,2016-07-06,348,144,79,49,75,356,1434,2904,4904,3606,1951,1768,2117,2183,2108,2234,2851,5351,5616,4090,2913,2107,1326,839,51353,2,-73.98739879815726,40.73746019640194,-73.9873766802027,40.737231446345305,0.016024746077843963,0.022255836329342155,0.01611725137599123,0.02236175229786275,-73.98538548219932,40.73740686983932,-73.98889428200617,40.73669198136817,0.01608940242860187,0.023102562363337763,0.015450880793239547,0.021234800001823498,-73.9888246494155,40.737389360113134,-73.98711231692484,40.737684425918296,0.015704110178436762,0.02144512724040777,0.01612732986501914,0.022552419454883888
36,2016-07-07,442,181,115,56,63,359,1482,2882,4823,3455,1976,1696,1942,2051,2017,2126,2843,5021,5004,3632,2613,1802,1294,867,48742,3,-73.98683921448952,40.73764288046075,-73.98693043275641,40.73736460102947,0.015977736578305472,0.02218641896504593,0.016061287541445826,0.022211536201648768,-73.98517953983742,40.73792710022293,-73.98841097277081,40.737214952597114,0.01617872843376032,0.02349174152806821,0.0156159840517801,0.021224647264588285,-73.98810128842759,40.73730194737571,-73.98665282507619,40.737661890230115,0.015591136001277681,0.02134351981191139,0.015872922073156978,0.022441911743002682
37,2016-07-08,475,211,134,75,89,328,1240,2559,4490,3401,1948,1940,2194,2505,2645,2747,3797,4497,1969,2310,1846,1321,922,776,44419,4,-73.9868584888254,40.737493202389345,-73.98382218498556,40.73536472479663,0.016024448750336946,0.022223546827133008,0.496715889530982,0.2742313784659729,-73.98509158943004,40.73821263811148,-73.98819937820838,40.73740030900978,0.016010144178614842,0.023522944528048158,0.015410791155953013,0.02135986425340641,-73.98774114776509,40.73714849524769,-73.97492439284932,40.730860529541395,0.016027558762374168,0.021366456669642646,0.933245860420058,0.5142487067920772
38,2016-07-09,628,422,260,200,104,107,290,521,1053,1540,2232,2652,3160,3405,3487,3438,3401,3110,2691,2320,1495,991,411,224,38142,5,-73.98576293830672,40.73617783505589,-73.98619949244696,40.735663292928685,0.017142706662843142,0.023806950250471776,0.017127632327882038,0.02362566522502593,-73.98591410038411,40.737435110869285,-73.98768363767108,40.737314040690435,0.0167447386253778,0.023566017632107267,0.016080940047825353,0.02268365390468988,-73.98639000690552,40.73635576576759,-73.98651994854656,40.735816753209775,0.01687912392314109,0.023888756079177464,0.017076767457258227,0.023465987116177908
39,2016-07-10,362,321,266,182,122,62,187,427,856,1553,2201,2863,3453,3645,3820,3254,2911,3298,3492,2867,2383,1634,1130,702,41991,6,-73.9863419440184,40.73597746139203,-73.98648630725039,40.73547958300626,0.017324706507759784,0.02435768997162913,0.017476135221925912,0.024319015531515074,-73.98622160257558,40.738178116873335,-73.98821855675196,40.73775426697332,0.01630429629177969,0.024122232636977204,0.01603194735815848,0.02391868682736785,-73.98688329730456,40.735779573707035,-73.98655466598466,40.73554185766556,0.01725548837976786,0.02430636070116747,0.01759335836555459,0.02427187846913361
